file,type,member,cyclomatic_complexity
"SMM.Desktop/LoginForm.cs","LoginForm","OnRegisterClick(object? sender, EventArgs e)",1
"SMM.Desktop/LoginForm.Designer.cs","LoginForm","InitializeComponent()",1
"SMM.Desktop/MainForm.cs","MainForm","MkGrid()",1
"SMM.Desktop/MainForm.cs","MainForm","PanelWithLabel(string title, Control content)",1
"SMM.Desktop/MainForm.cs","MainForm","RefreshStudent()",1
"SMM.Desktop/RegisterForm.cs","RegisterForm","OnCancel(object? sender, EventArgs e)",1
"SMM.Desktop/RegisterForm.cs","RegisterForm","RegisterForm()",1
"SMM.Desktop/RegisterForm.Designer.cs","RegisterForm","InitializeComponent()",1
"SMM.Desktop/RegisterForm.Designer.cs","RegisterForm","MkBox(int x, int y, int w)",1
"SMM.Desktop/RegisterForm.Designer.cs","RegisterForm","MkLabel(string text, int x, int y)",1
"SMM.Desktop/Workspace/AdminWorkspace.cs","AdminWorkspace","AdminWorkspace(          int adminUserId,          UserRepository users,          SocietyRepository society,          EventRepository events,          ActivityRepository activity)",1
"SMM.Desktop/Workspace/AdminWorkspace.cs","AdminWorkspace","LoadDashboard()",1
"SMM.Desktop/Workspace/AdminWorkspace.cs","AdminWorkspace","SetEventAdminStatus(int eventId, EventAdminStatus status)",1
"SMM.Desktop/Workspace/AdminWorkspace.cs","AdminWorkspace","SetSocietyStatus(int societyId, SocietyStatus status)",1
"SMM.Desktop/Workspace/AdminWorkspace.cs","AdminWorkspace","UniversityReport()",1
"SMM.Desktop/Workspace/IAdminWorkspace.cs","?","LoadDashboard()",1
"SMM.Desktop/Workspace/IAdminWorkspace.cs","?","SetEventAdminStatus(int eventId, EventAdminStatus status)",1
"SMM.Desktop/Workspace/IAdminWorkspace.cs","?","SetSocietyStatus(int societyId, SocietyStatus status)",1
"SMM.Desktop/Workspace/IAdminWorkspace.cs","?","SetUserActive(int targetUserId, bool active)",1
"SMM.Desktop/Workspace/IAdminWorkspace.cs","?","UniversityReport()",1
"SMM.Desktop/Workspace/ISocietyHeadWorkspace.cs","?","ApproveOrRejectRequest(int requestId, bool approve)",1
"SMM.Desktop/Workspace/ISocietyHeadWorkspace.cs","?","AssignTask(int societyId, int assigneeUserId, string title)",1
"SMM.Desktop/Workspace/ISocietyHeadWorkspace.cs","?","CancelEvent(int societyId, int eventId)",1
"SMM.Desktop/Workspace/ISocietyHeadWorkspace.cs","?","CreateDraftEvent(int societyId, string title, string? venue, DateTimeOffset startsAt, int? capacity)",1
"SMM.Desktop/Workspace/ISocietyHeadWorkspace.cs","?","DeactivateMember(int societyId, int memberUserId)",1
"SMM.Desktop/Workspace/ISocietyHeadWorkspace.cs","?","ListMySocieties()",1
"SMM.Desktop/Workspace/ISocietyHeadWorkspace.cs","?","LoadDetail(int societyId)",1
"SMM.Desktop/Workspace/ISocietyHeadWorkspace.cs","?","PublishEvent(int societyId, int eventId)",1
"SMM.Desktop/Workspace/ISocietyHeadWorkspace.cs","?","RequestNewSociety(string name)",1
"SMM.Desktop/Workspace/ISocietyHeadWorkspace.cs","?","SaveProfile(int societyId, string name, string? description)",1
"SMM.Desktop/Workspace/ISocietyHeadWorkspace.cs","?","SocietyReport(int societyId)",1
"SMM.Desktop/Workspace/IStudentWorkspace.cs","?","ApplyToSociety(int societyId)",1
"SMM.Desktop/Workspace/IStudentWorkspace.cs","?","LoadDashboard()",1
"SMM.Desktop/Workspace/IStudentWorkspace.cs","?","RegisterForEvent(int eventId)",1
"SMM.Desktop/Workspace/SocietyHeadWorkspace.cs","SocietyHeadWorkspace","AssignTask(int societyId, int assigneeUserId, string title)",1
"SMM.Desktop/Workspace/SocietyHeadWorkspace.cs","SocietyHeadWorkspace","CancelEvent(int societyId, int eventId)",1
"SMM.Desktop/Workspace/SocietyHeadWorkspace.cs","SocietyHeadWorkspace","CreateDraftEvent(int societyId, string title, string? venue, DateTimeOffset startsAt, int? capacity)",1
"SMM.Desktop/Workspace/SocietyHeadWorkspace.cs","SocietyHeadWorkspace","DeactivateMember(int societyId, int memberUserId)",1
"SMM.Desktop/Workspace/SocietyHeadWorkspace.cs","SocietyHeadWorkspace","ListMySocieties()",1
"SMM.Desktop/Workspace/SocietyHeadWorkspace.cs","SocietyHeadWorkspace","RequestNewSociety(string name)",1
"SMM.Desktop/Workspace/SocietyHeadWorkspace.cs","SocietyHeadWorkspace","SaveProfile(int societyId, string name, string? description)",1
"SMM.Desktop/Workspace/SocietyHeadWorkspace.cs","SocietyHeadWorkspace","SocietyHeadWorkspace(          int headUserId,          SocietyRepository society,          EventRepository events,          TaskRepository tasks,          ActivityRepository activity)",1
"SMM.Desktop/Workspace/SocietyHeadWorkspace.cs","SocietyHeadWorkspace","SocietyReport(int societyId)",1
"SMM.Desktop/Workspace/StudentWorkspace.cs","StudentWorkspace","ApplyToSociety(int societyId)",1
"SMM.Desktop/Workspace/StudentWorkspace.cs","StudentWorkspace","LoadDashboard()",1
"SMM.Desktop/Workspace/StudentWorkspace.cs","StudentWorkspace","RegisterForEvent(int eventId)",1
"SMM.Desktop/Workspace/StudentWorkspace.cs","StudentWorkspace","StudentWorkspace(int studentUserId, SocietyRepository society, EventRepository events, ActivityRepository activity)",1
